INDEX,TACTICS,TECHNIQUES,SUBTECHNIQUES,% TECHNIQUES,% SUBTECHNIQUES
1,collection,17,20,8%,4%
2,defense-evasion,43,142,19%,26%
3,credential-access,17,46,8%,9%
4,execution,14,23,7%,5%
5,resource-development,8,37,4%,7%
6,discovery,31,13,14%,3%
7,reconnaissance,10,33,5%,6%
8,exfiltration,9,9,4%,2%
9,impact,13,13,6%,3%
10,privilege-escalation,14,85,7%,16%
11,persistence,21,96,10%,18%
12,initial-access,9,10,4%,2%
13,lateral-movement,9,13,4%,3%
14,command-and-control,16,23,7%,5%
