INDEX,ADVERSARY,TACTICS,TECHNIQUES,MALWARE,TOOLS,(%) TACTICS,(%) TECHNIQUES,(%) MALWARE,(%) TOOLS
116,apt18,7,12,4,1,50%,2%,2%,2%
117,scarlet-mimic,1,1,4,0,8%,1%,1%,0%
118,strider,4,3,1,0,29%,1%,1%,0%
119,ta551,5,14,4,0,36%,2%,2%,0%
120,sidecopy,9,16,2,0,65%,3%,3%,0%
121,deep-panda,6,10,4,3,43%,2%,2%,4%
122,thrip,4,4,1,2,29%,1%,1%,3%
123,ajax-security-team,5,6,0,2,36%,1%,1%,3%
124,indigozebra,4,7,3,0,29%,1%,1%,0%
125,tonto-team,10,15,2,4,72%,2%,2%,5%
126,andariel,8,12,2,0,58%,2%,2%,0%
127,admin@338,4,12,3,4,29%,2%,2%,5%
128,silverterrier,1,3,5,0,8%,1%,1%,0%
129,taidoor,0,0,0,0,0%,0%,0%,0%
130,gallmaker,4,6,0,0,29%,1%,1%,0%
131,gold-southfield,6,9,1,1,43%,2%,2%,2%
132,neodymium,0,0,1,0,0%,0%,0%,0%
133,volatile-cedar,4,5,2,0,29%,1%,1%,0%
134,darkvishnya,8,10,0,2,58%,2%,2%,3%
135,rancor,6,8,2,2,43%,2%,2%,3%
136,dragonok,0,0,2,0,0%,0%,0%,0%
137,apt16,1,1,1,0,8%,1%,1%,0%
138,windigo,5,7,1,0,36%,1%,1%,0%
139,nomadic-octopus,4,7,1,0,29%,1%,1%,0%
140,lotus-blossom,0,0,2,0,0%,0%,0%,0%
141,apt17,1,2,1,0,8%,1%,1%,0%
142,ferocious-kitten,4,6,1,1,29%,1%,1%,2%
143,moafee,1,1,1,0,8%,1%,1%,0%
144,blackoasis,1,1,0,0,8%,1%,1%,0%
145,gcman,1,2,0,0,8%,1%,1%,0%
146,monsoon,0,0,0,0,0%,0%,0%,0%
147,apt34,0,0,0,0,0%,0%,0%,0%
